Month,Year,Purdue/CME Ag Economy Barometer,Index of Current Conditions,Index of Future Expectations,Farm Capital Investment Index
October,2015,116,118,116,67
November,2015,97,98,97,51
December,2015,107,125,98,75
January,2016,98,99,98,52
February,2016,96,82,102,56
March,2016,85,77,89,43
April,2016,106,107,105,63
May,2016,97,83,104,52
June,2016,104,98,107,56
July,2016,112,93,121,61
August,2016,95,80,102,57
September,2016,101,83,109,52
October,2016,92,85,95,49
November,2016,116,87,130,57
December,2016,132,102,146,58
January,2017,153,118,169,67
February,2017,134,105,148,66
March,2017,124,120,126,66
April,2017,130,127,132,63
May,2017,130,117,136,52
June,2017,131,132,131,66
July,2017,139,142,138,68
August,2017,132,122,137,56
September,2017,132,135,130,68
October,2017,135,129,137,64
November,2017,128,129,127,63
December,2017,126,139,120,70
January,2018,135,144,131,74
February,2018,140,143,139,72
March,2018,135,134,135,61
April,2018,125,123,126,59
May,2018,141,132,145,60
June,2018,143,138,146,66
July,2018,117,99,126,47
August,2018,129,121,132,61
September,2018,114,96,122,42
October,2018,136,115,146,52
November,2018,134,115,143,56
December,2018,127,109,135,51
January,2019,143,132,148,62
February,2019,136,119,145,50
March,2019,133,120,139,57
April,2019,115,99,123,48
May,2019,101,84,108,37
June,2019,126,97,141,42
July,2019,153,141,159,67
August,2019,124,122,125,56
September,2019,121,100,131,47
October,2019,136,115,146,59
November,2019,153,153,153,71
December,2019,150,141,155,72
January,2020,167,142,179,68
February,2020,168,154,175,72
March,2020,121,111,126,54
April,2020,96,72,108,38
May,2020,103,83,112,50
June,2020,117,99,126,60
July,2020,118,111,121,60
August,2020,144,124,154,65
September,2020,156,142,163,73
October,2020,183,178,186,82
November,2020,167,187,156,80
December,2020,174,202,161,93
January,2021,167,199,151,93
February,2021,165,200,148,88
March,2021,177,202,164,88
April,2021,178,195,169,75
May,2021,158,178,149,65
June,2021,137,149,132,54
July,2021,134,143,130,50
August,2021,138,152,132,53
September,2021,124,140,116,43
October,2021,121,135,114,46
November,2021,116,128,110,39
December,2021,125,146,114,49
January,2022,119,133,112,45
February,2022,125,132,122,42
March,2022,113,113,113,36
April,2022,121,120,122,36
May,2022,99,94,101,35
June,2022,97,99,96,35
July,2022,103,109,100,36
August,2022,117,118,116,39
September,2022,112,109,113,31
October,2022,102,101,102,38
November,2022,102,98,104,31
December,2022,126,135,122,40
January,2023,130,136,127,42
February,2023,125,134,121,43
March,2023,117,126,113,42
April,2023,123,129,120,43
May,2023,104,116,98,37
June,2023,121,116,123,42
July,2023,123,121,124,45
August,2023,115,108,119,37
September,2023,106,98,109,39
October,2023,110,101,114,35
November,2023,115,113,116,42
December,2023,114,112,115,43
January,2024,106,103,108,35
February,2024,111,103,115,34
March,2024,114,101,120,41
April,2024,99,83,106,31
May,2024,108,89,117,35
June,2024,105,90,112,32
July,2024,113,100,119,38
August,2024,100,83,108,31
September,2024,88,76,94,35
October,2024,115,95,124,42
November,2024,145,113,161,55
December,2024,136,100,153,48
January,2025,141,109,156,48
February,2025,152,137,159,59
March,2025,140,132,144,54
April,2025,148,141,152,61
May,2025,158,146,164,55
June,2025,146,144,146,60
July,2025,135,127,139,53
August,2025,125,129,123,61
September,2025,126,122,128,53
October,2025,129,130,129,62
